TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0045165	cell fate commitment	2.7715398585772002e-21	-47.3348838815105	283	80	0.0309477756286267	2585	29090	24064,14048,21812,18129,21375,14633,11789,14465,21387,11924,209448,15379,104360,242620,13172,20678,22418,13592,20668,15110,21380,12393,12677,20890,19401,20737,15205,17260,17342,12142,13388,20471,18999,16189,14581,93735,67299,211323,11819,18996,27140,54713,22411,18424,13819,18509,18014,14843,94222,15398,22422,14179,20377,50914,18032,21386,13813,20674,20997,18027,21410,231044,17341,13390,103551,20472,14726,225631,21385,14234,12043,21384,50523,17927,19016,18128,16814,23966,232174,18119	Spry2,Eya1,Tgfbr1,Notch2,Tbr1,Gli2,Apc,Gata6,Tbx4,Neurog2,Hoxc10,Onecut1,Isl2,Dmrta2,Dbx1,Sox5,Wnt5a,Ebf2,Sox13,Hand1,Tbx1,Runx2,Vsx2,Wnt8a,Rara,Spn,Hes1,Mef2c,Mitf,Prdm1,Dll1,Six1,Pou5f1,Il4,Gfi1,Wnt16,Dock7,Nrg1,Nr2f2,Pou4f1,Tlx3,Fezf2,Wnt11,Otx2,Epas1,Pax7,Neurog1,Gsx2,Olig3,Hoxa13,Wnt7b,Fgf8,Sfrp1,Olig1,Nfix,Tbx3,Eomes,Sox2,T,Nfia,Hnf1b,Gbx1,Bhlha15,Dlx1,Epop,Six2,Pdpn,Onecut2,Tbx2,Foxc2,Bcl2,Tbx15,Lats2,Myod1,Pparg,Notch1,Lbx1,Tenm4,Cyp26b1,Nodal
GO:0060537	muscle tissue development	9.54239549680523e-17	-36.8882020266649	399	90	0.034816247582205	2585	29090	70417,13388,16656,12823,217082,19401,211323,20474,11549,225115,11459,231602,56758,26398,17869,22339,18810,54720,12227,11910,11472,14048,18821,22418,64930,14234,14049,12224,26556,26443,14225,18935,19645,17898,18032,56637,18509,228019,26903,56312,53620,77446,74182,15485,21386,232685,230103,17260,237560,20471,20181,14422,108655,18996,11819,77579,17069,213435,19084,242620,14465,16905,21812,13008,12154,22326,27419,15110,13009,21814,18128,17927,14200,12043,14182,18175,21385,23966,16828,19378,14281,218772,20289,13857,17131,140781,13383,20997,77578,13813	Megf10,Dll1,Hivep3,Col19a1,Hlf,Rara,Nrg1,Six4,Adra1a,Svil,Acta1,P2rx2,Mbnl1,Map2k4,Myc,Vegfa,Plec,Rcan1,Btg2,Atf3,Actn2,Eya1,Pln,Wnt5a,Tsc1,Foxc2,Eya2,Klf5,Homer1,Psma6,Fkbp1a,Phox2b,Rb1,Myl7,Nfix,Gsk3b,Pax7,Mettl8,Dysf,Nupr1,Vamp5,Heg1,Gpcpd1,Hsd17b1,Tbx3,Lncpint,Npr2,Mef2c,Lrrc10,Six1,Rxra,B4galnt2,Foxp1,Pou4f1,Nr2f2,Myh10,Ly6e,Mylk3,Prkar1a,Dmrta2,Gata6,Lmna,Tgfbr1,Csrp2,Bmp10,Vax1,Naglu,Hand1,Csrp3,Tgfbr3,Notch1,Myod1,Fhl2,Bcl2,Fgfr1,Nrap,Tbx2,Tenm4,Ldha,Aldh1a2,Fos,Rarb,Scx,Epor,Smad7,Myh7,Dlg1,T,Bcl9,Eomes
GO:0007389	pattern specification process	4.0346917942577003e-16	-35.4464315721837	478	100	0.0386847195357834	2585	29090	242620,73916,12590,21375,13590,18129,71137,21812,17702,21380,15110,12167,170765,15405,13172,15257,15404,14562,20471,20350,14296,17260,210510,11819,22632,70122,15258,19378,20377,14179,22422,15423,18014,19726,22411,18424,21410,241324,15242,20997,13813,18503,18128,15229,110796,73191,226049,225876,232174,67087,70028,64290,15432,209448,11789,14633,12227,14048,16776,13380,22418,11694,72475,17130,15403,13388,15205,68270,22255,20890,235320,327826,54713,18183,19411,65973,11764,15207,14843,66743,18509,12614,20472,13390,79362,21386,230824,171567,14609,14234,11482,12591,13082,30841,15424,320202,18423,18119,233812,16814	Dmrta2,Ift57,Cdx1,Tbr1,Lefty1,Notch2,Rfx4,Tgfbr1,Msx2,Tbx1,Hand1,Bmpr1b,Ripply3,Hoxa9,Dbx1,Hipk1,Hoxa7,Gdf3,Six1,Sema3f,Frat1,Mef2c,Tdrd6,Nr2f2,Yy1,Mllt3,Hipk2,Aldh1a2,Sfrp1,Fgf8,Wnt7b,Hoxc4,Neurog1,Rfx3,Wnt11,Otx2,Hnf1b,Crb2,Hhex,T,Eomes,Pax1,Notch1,Foxd1,Tshz1,Fezf1,Dmrt2,Kdm2a,Cyp26b1,Ctnnbip1,Dop1b,Foxb1,Hoxd12,Hoxc10,Apc,Gli2,Btg2,Eya1,Lama5,Dkk1,Wnt5a,Alx3,Ssbp3,Smad6,Hoxa6,Dll1,Hes1,Dnaaf1,Uncx,Wnt8a,Zbtb16,Frs2,Fezf2,Nrg3,Rarg,Asph,Ap1b1,Hes3,Gsx2,Rnf220,Pax7,Celsr1,Six2,Dlx1,Bhlhe41,Tbx3,Grhl3,Nme7,Gja1,Foxc2,Acvrl1,Cdx2,Cyp26a1,Kdm2b,Hoxc5,Lefty2,Otx1,Nodal,Mosmo,Lbx1
GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	4.22442644611823e-16	-35.4004779887088	422	92	0.0355899419729207	2585	29090	13845,13009,18212,217692,14182,16822,13448,21385,636931,17974,17913,14179,14169,14784,19229,15234,230103,66864,18124,20399,14178,15531,12488,381126,319740,74741,239463,13640,16416,110157,16590,13685,29815,20851,19303,20238,18590,16452,14234,14360,384783,18049,13367,16451,18707,21844,110279,72828,12978,19116,13643,14783,16591,83431,71602,23886,14573,21687,74747,56637,224650,18605,18708,56468,213053,15200,16337,104215,20963,12826,76499,107746,19713,11601,211323,110834,327826,16818,18183,20662,15162,68259,22339,11789,22433,24064,72993,20529,22418,14586,20411,13636	Ephb3,Csrp3,Ntrk2,Sipa1l1,Fgfr1,Lcp2,Dok1,Tbx2,Trim71,Nck2,Myo1c,Fgf8,Fgf14,Grb2,Ptk2b,Hgf,Npr2,Clec14a,Nr4a3,Sh2b1,Fgf7,Ndst1,Cd2ap,Garem1,Zfyve27,C2cd5,Fam83a,Efna5,Itgb3,Raf1,Kit,Eif4ebp1,Bcar3,Stat5b,Pxn,Atxn1,Pdgfa,Jak2,Foxc2,Fyn,Irs2,Ngf,Diaph1,Jak1,Pik3cd,Tiam1,Bcr,Ubash3b,Csf1r,Prlr,Efnb3,Grb10,Kl,Ndel1,Myo1e,Gdf15,Gdnf,Tek,Ddit4,Gsk3b,Anks1,Enpp1,Pik3r1,Socs5,Slc39a14,Hbegf,Insr,Rhoq,Syk,Col4a1,Clasp2,Rapgef1,Ret,Angpt2,Nrg1,Chrna3,Frs2,Lck,Nrg3,Sos1,Hck,Ift80,Vegfa,Apc,Xbp1,Spry2,Appl1,Slc31a1,Wnt5a,Gfra2,Sorbs1,Efna1
GO:0070848	response to growth factor	5.92260713891209e-16	-35.0625847408678	495	102	0.039458413926499	2585	29090	15531,381126,12488,319740,15258,19042,230103,11977,17260,58250,78618,14178,20375,14479,12393,21380,12167,14008,20851,19303,20404,13655,15379,16416,13660,14465,18129,12154,21812,17702,110157,12164,14043,636931,278507,19016,18128,21814,14182,18212,18569,18511,225631,21385,15234,68010,19141,14538,13383,68799,14281,14179,20377,17913,14169,17131,14784,20289,107746,327826,20662,20698,110351,17130,16337,15205,16419,72993,12741,20692,22418,20678,19878,68259,22339,24064,22433,15587,110521,14815,18119,16591,14573,18935,80859,14360,18707,11482,18049,12161,13390,69640,18027,20674,15116,56637,74747,18032,23999,14456,18605,50791	Ndst1,Garem1,Cd2ap,Zfyve27,Hipk2,Ppm1a,Npr2,Atp7a,Mef2c,Chst11,Acap2,Fgf7,Spi1,Usp15,Runx2,Tbx1,Bmpr1b,Etv2,Stat5b,Pxn,Sh3gl2,Egr3,Onecut1,Itgb3,Ehd1,Gata6,Notch2,Bmp10,Tgfbr1,Msx2,Raf1,Bmp8b,Ext2,Trim71,Wfikkn2,Pparg,Notch1,Tgfbr3,Fgfr1,Ntrk2,Pdcd4,Pax9,Onecut2,Tbx2,Hgf,Bambi,Lgmn,Gcnt2,Dlg1,Rgmb,Fos,Fgf8,Sfrp1,Myo1c,Fgf14,Smad7,Grb2,Scx,Rapgef1,Frs2,Sos1,Sphk1,Rap1gap,Smad6,Insr,Hes1,Itgb5,Appl1,Cldn5,Sparc,Wnt5a,Sox5,Rock2,Ift80,Vegfa,Spry2,Xbp1,Hyal2,Hivep1,Nr3c1,Nodal,Kl,Gdnf,Phox2b,Nfkbiz,Fyn,Pik3cd,Acvrl1,Ngf,Bmp6,Dlx1,Fam83g,Nfia,Sox2,Has1,Gsk3b,Ddit4,Nfix,Twf2,Gas6,Enpp1,Magi2
GO:0071363	cellular response to growth factor stimulus	8.46621550331985e-16	-34.7052778909776	476	99	0.0382978723404255	2585	29090	14008,12167,20851,12393,21380,20404,19303,12154,21812,18129,17702,110157,15379,13655,13660,14465,16416,319740,15258,19042,15531,12488,381126,58250,20375,14479,78618,14178,17260,11977,13383,14538,19141,15234,68010,14169,14784,20289,17131,68799,17913,14281,20377,14179,636931,278507,14043,12164,18569,18511,225631,21385,21814,19016,18128,18212,14182,20678,72993,12741,16419,20692,22418,22433,24064,68259,22339,20698,20662,110351,107746,327826,15205,16337,17130,15116,13390,18027,69640,18605,50791,23999,14456,56637,74747,18032,16591,18935,80859,14573,15587,110521,14815,18119,18049,11482,18707,12161,14360	Etv2,Bmpr1b,Stat5b,Runx2,Tbx1,Sh3gl2,Pxn,Bmp10,Tgfbr1,Notch2,Msx2,Raf1,Onecut1,Egr3,Ehd1,Gata6,Itgb3,Zfyve27,Hipk2,Ppm1a,Ndst1,Cd2ap,Garem1,Chst11,Spi1,Usp15,Acap2,Fgf7,Mef2c,Atp7a,Dlg1,Gcnt2,Lgmn,Hgf,Bambi,Fgf14,Grb2,Scx,Smad7,Rgmb,Myo1c,Fos,Sfrp1,Fgf8,Trim71,Wfikkn2,Ext2,Bmp8b,Pdcd4,Pax9,Onecut2,Tbx2,Tgfbr3,Pparg,Notch1,Ntrk2,Fgfr1,Sox5,Appl1,Cldn5,Itgb5,Sparc,Wnt5a,Xbp1,Spry2,Ift80,Vegfa,Sphk1,Sos1,Rap1gap,Rapgef1,Frs2,Hes1,Insr,Smad6,Has1,Dlx1,Nfia,Fam83g,Enpp1,Magi2,Twf2,Gas6,Gsk3b,Ddit4,Nfix,Kl,Phox2b,Nfkbiz,Gdnf,Hyal2,Hivep1,Nr3c1,Nodal,Ngf,Acvrl1,Pik3cd,Bmp6,Fyn
GO:0048562	embryonic organ morphogenesis	1.6864273733338102e-15	-34.0161640838619	335	78	0.030174081237911	2585	29090	11694,20655,18124,13388,20471,17260,193385,58250,15205,16206,20776,68270,15531,327826,22601,20474,15258,19411,14581,17869,73916,14633,27419,18129,21812,14048,109934,15209,24064,102502,12393,21380,15110,15373,22418,15405,15257,13636,17921,15404,18128,230824,14182,14609,21384,14234,110796,21385,110279,100169,30841,18423,16470,225876,18119,17387,16814,21676,57265,19378,14179,252973,15423,18014,18605,218772,12614,18424,22411,20472,50769,72747,21410,241324,20997,13383,20674,21386	Alx3,Sod1,Nr4a3,Dll1,Six1,Mef2c,Ripor2,Chst11,Hes1,Lrig1,Tmie,Dnaaf1,Ndst1,Frs2,Yap1,Six4,Hipk2,Rarg,Gfi1,Myc,Ift57,Gli2,Naglu,Notch2,Tgfbr1,Eya1,Abr,Hesx1,Spry2,Pls1,Runx2,Tbx1,Hand1,Hmx3,Wnt5a,Hoxa9,Hipk1,Efna1,Myo7a,Hoxa7,Notch1,Grhl3,Fgfr1,Gja1,Tbx15,Foxc2,Tshz1,Tbx2,Bcr,Phactr4,Kdm2b,Otx1,Ush1g,Kdm2a,Nodal,Mmp14,Lbx1,Tead1,Fzd2,Aldh1a2,Fgf8,Grhl2,Hoxc4,Neurog1,Enpp1,Rarb,Celsr1,Otx2,Wnt11,Six2,Atp8a2,Ttc39c,Hnf1b,Crb2,T,Dlg1,Sox2,Tbx3
GO:0003002	regionalization	2.08123023169656e-14	-31.5032321254991	434	90	0.034816247582205	2585	29090	15405,12167,15110,21380,15404,15257,13172,12590,73916,242620,17702,21812,71137,13590,18129,21375,11819,15258,70122,22632,17260,20471,20350,14562,210510,241324,15242,21410,18503,13813,20997,14179,20377,22422,19378,18424,22411,19726,18014,15423,67087,225876,232174,226049,73191,15229,18128,110796,22418,13380,16776,11789,14633,209448,64290,12227,54713,327826,235320,19411,13388,15403,17130,72475,20890,68270,15205,13390,20472,21386,79362,15207,11764,12614,18509,14843,66743,233812,18119,320202,18423,15424,30841,16814,14234,14609,171567,13082,12591,11482	Hoxa9,Bmpr1b,Hand1,Tbx1,Hoxa7,Hipk1,Dbx1,Cdx1,Ift57,Dmrta2,Msx2,Tgfbr1,Rfx4,Lefty1,Notch2,Tbr1,Nr2f2,Hipk2,Mllt3,Yy1,Mef2c,Six1,Sema3f,Gdf3,Tdrd6,Crb2,Hhex,Hnf1b,Pax1,Eomes,T,Fgf8,Sfrp1,Wnt7b,Aldh1a2,Otx2,Wnt11,Rfx3,Neurog1,Hoxc4,Ctnnbip1,Kdm2a,Cyp26b1,Dmrt2,Fezf1,Foxd1,Notch1,Tshz1,Wnt5a,Dkk1,Lama5,Apc,Gli2,Hoxc10,Foxb1,Btg2,Fezf2,Frs2,Zbtb16,Rarg,Dll1,Hoxa6,Smad6,Ssbp3,Wnt8a,Dnaaf1,Hes1,Dlx1,Six2,Tbx3,Bhlhe41,Hes3,Ap1b1,Celsr1,Pax7,Gsx2,Rnf220,Mosmo,Nodal,Lefty2,Otx1,Hoxc5,Kdm2b,Lbx1,Foxc2,Gja1,Nme7,Cyp26a1,Cdx2,Acvrl1
GO:0048638	regulation of developmental growth	3.03958360163527e-14	-31.1244707690265	394	84	0.032495164410058	2585	29090	21380,20851,22418,11603,71751,102247,15567,217715,20437,14824,210108,52357,14465,22339,11789,21812,12154,65079,102502,19280,14025,108655,76499,12640,12125,211323,22601,20474,22632,26383,13640,319740,20655,20350,20471,13388,16337,17260,231507,20354,12550,12767,50769,21410,238161,74318,19141,13383,12335,11555,20360,83814,56637,14179,382864,23999,17131,68585,382018,69597,20239,330914,14815,83431,67603,23886,211232,18128,23795,17927,21814,19377,14182,14609,50523,19735,18472,70834,14234,12043,18049,13043,22129,21385	Tbx1,Stat5b,Wnt5a,Agrn,Map3k13,Gpat4,Slc6a4,Eif2b2,Siah1a,Grn,D130043K22Rik,Wwc2,Gata6,Vegfa,Apc,Tgfbr1,Bmp10,Rtn4r,Pls1,Ptprs,Bcl11a,Foxp1,Clasp2,Cga,Bcl2l11,Nrg1,Yap1,Six4,Yy1,Fto,Efna5,Zfyve27,Sod1,Sema3f,Six1,Dll1,Insr,Mef2c,Plac8,Sema4d,Cdh1,Cxcr4,Atp8a2,Hnf1b,Akap6,Hopx,Lgmn,Dlg1,Capn3,Adrb2,Sema6c,Nedd4l,Gsk3b,Fgf8,Colq,Twf2,Smad7,Rtn4,Unc13a,Afg3l2,Atxn2,Arhgap32,Nr3c1,Ndel1,Dusp6,Gdf15,Cpne9,Notch1,Agr2,Myod1,Tgfbr3,Rai1,Fgfr1,Gja1,Lats2,Rgs2,Pafah1b1,Spag9,Foxc2,Bcl2,Ngf,Cttn,Ttc3,Tbx2
GO:0061564	axon development	4.53919970896014e-14	-30.7234405809612	454	92	0.0355899419729207	2585	29090	11806,226251,54713,67749,73205,171171,211187,353237,16776,238505,22418,76884,13636,11735,18039,64290,104360,11789,22339,14633,69597,12978,13643,83431,14573,18935,14028,229715,56336,19649,18049,13367,68810,231044,17341,20616,94185,56386,19091,12368,56637,18032,13723,223435,18605,545156,108655,77579,12488,20352,67299,13640,230103,20350,320150,18124,17260,12167,77630,380684,67886,76965,93691,16452,269295,107934,11924,70747,11804,22326,65079,73191,54003,15229,18128,13845,18472,12043,20354,12767,50769,57764,20360,16772,14179,22422,50914,94222,18223,18014,68585,18424	Apoa1,Ablim1,Fezf2,Mgarp,C9orf72,Ntng2,Lrtm2,Pcdhac2,Lama5,Mtr,Wnt5a,Cyfip2,Efna1,Ank3,Nefl,Foxb1,Isl2,Apc,Vegfa,Gli2,Afg3l2,Csf1r,Efnb3,Ndel1,Gdnf,Phox2b,Evx1,Amigo1,B4galt5,Robo3,Ngf,Diaph1,Nexn,Gbx1,Bhlha15,Snap91,Tnfrsf21,B4galt6,Prkg1,Casp6,Gsk3b,Nfix,Emb,Trio,Enpp1,Kalrn,Foxp1,Myh10,Cd2ap,Sema4b,Dock7,Efna5,Npr2,Sema3f,Zdhhc17,Nr4a3,Mef2c,Bmpr1b,Prdm8,Nefh,Camsap2,Slitrk1,Klf7,Jak2,Rtn4rl2,Celsr3,Neurog2,Tspan2,Aplp2,Vax1,Rtn4r,Fezf1,Nell2,Foxd1,Notch1,Ephb3,Pafah1b1,Bcl2,Sema4d,Cxcr4,Atp8a2,Ntn4,Sema6c,Lama1,Fgf8,Wnt7b,Olig1,Olig3,Numbl,Neurog1,Rtn4,Otx2
GO:0007517	muscle organ development	1.11229560780928e-13	-29.827180214061	326	73	0.0282398452611219	2585	29090	18032,14281,16828,19645,57265,228019,26903,17131,140781,20289,13857,18509,77446,53620,56312,15485,77578,13813,74182,12043,14234,18128,17927,13009,21814,12224,14225,26443,26556,16814,18935,83962,16878,434246,18810,54720,16905,242620,17869,231602,56758,11910,22433,27419,12227,21812,22326,12154,22418,16776,21380,15110,20471,13388,17260,70417,232685,217082,12823,193385,14422,20181,16656,17425,18996,11819,211323,108655,20273,11459,225115,20474,17069	Nfix,Fos,Ldha,Rb1,Fzd2,Mettl8,Dysf,Smad7,Myh7,Scx,Epor,Pax7,Heg1,Vamp5,Nupr1,Hsd17b1,Bcl9,Eomes,Gpcpd1,Bcl2,Foxc2,Notch1,Myod1,Csrp3,Tgfbr3,Klf5,Fkbp1a,Psma6,Homer1,Lbx1,Phox2b,Btbd1,Lif,Trim72,Plec,Rcan1,Lmna,Dmrta2,Myc,P2rx2,Mbnl1,Atf3,Xbp1,Naglu,Btg2,Tgfbr1,Vax1,Bmp10,Wnt5a,Lama5,Tbx1,Hand1,Six1,Dll1,Mef2c,Megf10,Lncpint,Hlf,Col19a1,Ripor2,B4galnt2,Rxra,Hivep3,Foxk1,Pou4f1,Nr2f2,Nrg1,Foxp1,Scn8a,Acta1,Svil,Six4,Ly6e
GO:0043087	regulation of GTPase activity	2.85242178303992e-13	-28.8854378270388	291	67	0.0259187620889749	2585	29090	212285,29815,66790,11603,22418,14062,105445,16475,78757,24064,65079,192212,109934,545156,107746,54610,12775,75415,67299,98910,13640,110351,211914,73205,214137,20655,29809,193385,213990,20354,319939,57257,223864,19091,208650,19417,320127,56637,544817,235611,67784,98732,170625,20308,69993,22411,22084,277360,67016,381605,227800,83431,74694,109294,216445,230824,100855,13845,18472,217692,18212,76088,64930,54712,13196,110279,21844	Arap2,Bcar3,Grtp1,Agrn,Wnt5a,F2r,Dock9,Ajuba,Rictor,Spry2,Rtn4r,Prom2,Abr,Kalrn,Rapgef1,Tbc1d8,Ccr7,Arhgap12,Dock7,Usp6nl,Efna5,Rap1gap,Asap2,C9orf72,Arhgap29,Sod1,Rabgap1l,Ripor2,Agap3,Sema4d,Tns3,Vav3,Rapgef3,Prkg1,Cblb,Rasgrf1,Dgki,Gsk3b,Arhgap27,Plxnb1,Plxnd1,Rab3gap2,Snx18,Ccl9,Chn2,Wnt11,Tsc2,Prex1,Tbc1d2b,Tbc1d2,Rabgap1,Ndel1,Tbc1d30,Prex2,Arhgap9,Grhl3,Tbc1d14,Ephb3,Pafah1b1,Sipa1l1,Ntrk2,Dock8,Tsc1,Plxnc1,Asap1,Bcr,Tiam1
GO:0050803	regulation of synapse structure or activity	3.41486457176649e-13	-28.7054683735628	375	79	0.0305609284332689	2585	29090	211323,259302,77579,545156,19280,269788,13640,20474,13631,17260,20350,171171,320150,20471,18430,105827,228880,14178,211187,11603,22418,217124,20692,140919,13380,13636,19878,225875,72961,76965,211134,242662,64451,18039,65079,16443,73728,13643,26556,58234,22084,170571,22346,16423,74342,54712,18212,14182,229715,14360,217692,18472,13845,11487,21844,26364,13196,27801,12933,20354,12564,320712,20616,30785,382864,99633,56637,232370,378937,65945,13191,18708,50791,19229,22192,13004,68585,23829,18223	Nrg1,Srgap3,Myh10,Kalrn,Ptprs,Lhfpl4,Efna5,Six4,Eef2k,Mef2c,Sema3f,Ntng2,Zdhhc17,Six1,Oxtr,Amigo2,Zmynd8,Fgf7,Lrtm2,Agrn,Wnt5a,Ppp1r9b,Sparc,Slc17a6,Dkk1,Efna1,Rock2,Lrfn4,Slc17a7,Slitrk1,Lzts1,Rims3,Dip2a,Nefl,Rtn4r,Itsn1,Psd,Efnb3,Homer1,Shank3,Tsc2,Cntnap4,Vhl,Cd47,Lrrtm1,Plxnc1,Ntrk2,Fgfr1,Amigo1,Fyn,Sipa1l1,Pafah1b1,Ephb3,Adam10,Tiam1,Adgre5,Asap1,Zdhhc8,Crmp1,Sema4d,Cdh8,Abi3bp,Snap91,Cttnbp2,Colq,Adgrl2,Gsk3b,Clstn3,Lrrc24,Clstn1,Dctn1,Pik3r1,Magi2,Ptk2b,Ube2m,Ncan,Rtn4,C1ql1,Numbl
GO:0050767	regulation of neurogenesis	3.84148777431876e-13	-28.5877464761301	485	94	0.0363636363636364	2585	29090	330914,13643,12978,22084,83431,229715,21844,18049,118454,13390,20674,20616,79362,20665,67784,56637,15207,19645,23999,76454,14843,211323,54713,12950,13047,14025,17760,330790,13631,13388,15205,22418,22671,14375,217715,71751,22339,18039,17869,20539,12227,23966,66991,73191,58234,12579,56710,18212,54712,18472,19016,18128,22129,14580,12550,12767,20354,20360,18755,235611,22422,104015,16195,13004,68585,18223,18627,18996,12017,19280,545156,319740,216858,67299,18420,13640,22601,20350,14366,64383,16835,16590,12677,17196,70827,20238,76965,16878,21817,242620,210108,65079,22326,18129	Arhgap32,Efnb3,Csf1r,Tsc2,Ndel1,Amigo1,Tiam1,Ngf,Gjc2,Dlx1,Sox2,Snap91,Bhlhe41,Sox10,Plxnd1,Gsk3b,Hes3,Rb1,Twf2,Fbxo31,Gsx2,Nrg1,Fezf2,Hapln1,Cux1,Bcl11a,Map6,Hapln4,Eef2k,Dll1,Hes1,Wnt5a,Rnf112,Xrcc6,Eif2b2,Map3k13,Vegfa,Nefl,Myc,Slc7a5,Btg2,Tenm4,Khdc3,Fezf1,Shank3,Cdkn2b,Brinp1,Ntrk2,Plxnc1,Pafah1b1,Pparg,Notch1,Ttc3,Gfap,Cdh1,Cxcr4,Sema4d,Sema6c,Prkch,Plxnb1,Wnt7b,Synj1,Il6st,Ncan,Rtn4,Numbl,Per2,Pou4f1,Bag1,Ptprs,Kalrn,Zfyve27,Kctd11,Dock7,Otp,Efna5,Yap1,Sema3f,Fzd4,Sirt2,Ldlr,Kit,Vsx2,Mbp,Trak2,Atxn1,Slitrk1,Lif,Tgm2,Dmrta2,D130043K22Rik,Rtn4r,Vax1,Notch2
GO:0009952	anterior/posterior pattern specification	5.06784496196815e-13	-28.3106905384928	235	58	0.0224371373307544	2585	29090	15207,19378,14179,20377,15423,18014,12614,18424,20472,21410,241324,15242,20997,79362,21386,18503,18128,14234,110796,12591,13082,30841,15424,73191,320202,18423,18119,67087,64290,209448,12590,11789,14633,12227,13590,21812,17702,21380,13380,22418,15405,15257,15404,14562,72475,15403,13388,15205,210510,20890,327826,235320,54713,11819,22632,70122,15258,19411	Hes3,Aldh1a2,Fgf8,Sfrp1,Hoxc4,Neurog1,Celsr1,Otx2,Six2,Hnf1b,Crb2,Hhex,T,Bhlhe41,Tbx3,Pax1,Notch1,Foxc2,Tshz1,Cdx2,Cyp26a1,Kdm2b,Hoxc5,Fezf1,Lefty2,Otx1,Nodal,Ctnnbip1,Foxb1,Hoxc10,Cdx1,Apc,Gli2,Btg2,Lefty1,Tgfbr1,Msx2,Tbx1,Dkk1,Wnt5a,Hoxa9,Hipk1,Hoxa7,Gdf3,Ssbp3,Hoxa6,Dll1,Hes1,Tdrd6,Wnt8a,Frs2,Zbtb16,Fezf2,Nr2f2,Yy1,Mllt3,Hipk2,Rarg
GO:1901888	regulation of cell junction assembly	7.56040986298036e-13	-27.9106808055208	290	66	0.025531914893617	2585	29090	225875,19878,76965,12741,217124,22418,11603,13380,73728,65079,208177,22339,211134,20971,13640,13631,20474,76499,107746,269788,19280,211323,21872,259302,13829,211187,53885,105827,18430,17260,20471,171171,18755,74318,320712,20354,12933,18223,12739,68585,22192,19229,18708,65945,83814,378937,382864,17913,56637,232370,99633,17387,74342,21687,17886,13643,11482,27801,26364,13845,18212,64930,229715,217692,14609,14182	Lrfn4,Rock2,Slitrk1,Cldn5,Ppp1r9b,Wnt5a,Agrn,Dkk1,Psd,Rtn4r,Phldb2,Vegfa,Lzts1,Sdc4,Efna5,Eef2k,Six4,Clasp2,Rapgef1,Lhfpl4,Ptprs,Nrg1,Tjp1,Srgap3,Dmtn,Lrtm2,Nphp1,Amigo2,Oxtr,Mef2c,Six1,Ntng2,Prkch,Hopx,Abi3bp,Sema4d,Crmp1,Numbl,Cldn3,Rtn4,Ube2m,Ptk2b,Pik3r1,Clstn1,Nedd4l,Lrrc24,Colq,Myo1c,Gsk3b,Clstn3,Adgrl2,Mmp14,Lrrtm1,Tek,Myh9,Efnb3,Acvrl1,Zdhhc8,Adgre5,Ephb3,Ntrk2,Tsc1,Amigo1,Sipa1l1,Gja1,Fgfr1
GO:0050807	regulation of synapse organization	8.43702546859429e-13	-27.8009763950647	367	77	0.0297872340425532	2585	29090	20616,30785,320712,12564,20354,12933,18223,23829,68585,22192,13004,13191,18708,19229,50791,65945,378937,56637,232370,99633,382864,74342,16423,22346,170571,22084,58234,26556,13643,27801,13196,26364,21844,11487,13845,217692,14360,229715,18472,14182,18212,54712,76965,225875,19878,13636,13380,217124,20692,22418,11603,73728,16443,65079,18039,64451,242662,211134,13631,20474,13640,19280,269788,545156,77579,259302,211323,211187,14178,105827,228880,18430,171171,320150,20350,20471,17260	Snap91,Cttnbp2,Abi3bp,Cdh8,Sema4d,Crmp1,Numbl,C1ql1,Rtn4,Ube2m,Ncan,Dctn1,Pik3r1,Ptk2b,Magi2,Clstn1,Lrrc24,Gsk3b,Clstn3,Adgrl2,Colq,Lrrtm1,Cd47,Vhl,Cntnap4,Tsc2,Shank3,Homer1,Efnb3,Zdhhc8,Asap1,Adgre5,Tiam1,Adam10,Ephb3,Sipa1l1,Fyn,Amigo1,Pafah1b1,Fgfr1,Ntrk2,Plxnc1,Slitrk1,Lrfn4,Rock2,Efna1,Dkk1,Ppp1r9b,Sparc,Wnt5a,Agrn,Psd,Itsn1,Rtn4r,Nefl,Dip2a,Rims3,Lzts1,Eef2k,Six4,Efna5,Ptprs,Lhfpl4,Kalrn,Myh10,Srgap3,Nrg1,Lrtm2,Fgf7,Amigo2,Zmynd8,Oxtr,Ntng2,Zdhhc17,Sema3f,Six1,Mef2c
