TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	1.77575268330711e-10	-22.451626549962	237	23	0.0888030888030888	259	13465	110279,71720,216445,13196,233765,19159,277360,19878,100273,114713,71435,384783,224860,219140,106877,320129,67016,71801,20662,54519,21844,16443,212285	Bcr,Osbpl3,Arhgap9,Asap1,Plekha7,Cyth3,Prex1,Rock2,Osbpl9,Rasa2,Arhgap21,Irs2,Plcl2,Spata13,Afap1l1,Grk3,Tbc1d2b,Plekhf2,Sos1,Apbb1ip,Tiam1,Itsn1,Arap2
PS00741	DH_1	7.98064555181142e-05	-9.43590616056346	24	5	0.0193050193050193	259	13465	16443,110279,21844,277360,219140	Itsn1,Bcr,Tiam1,Prex1,Spata13
PS50002	SH3	0.000309531338999856	-8.08045121410031	218	13	0.0501930501930502	259	13465	13196,216445,71602,225608,18708,21981,219140,21872,14784,17969,170625,16443,68813	Asap1,Arhgap9,Myo1e,Sh3tc2,Pik3r1,Ppp1r13b,Spata13,Tjp1,Grb2,Ncf1,Snx18,Itsn1,Dock5
PS50010	DH_2	0.000320296310026541	-8.04626402178224	68	7	0.027027027027027	259	13465	110279,277360,16443,100045792,20662,21844,219140	Bcr,Prex1,Itsn1,Ect2l,Sos1,Tiam1,Spata13
PS00889	CNMP_BINDING_2	0.00174408736466324	-6.35152386033303	13	3	0.0115830115830116	259	13465	70873,12788,19084	Cnbd2,Cnga1,Prkar1a
PS00888	CNMP_BINDING_1	0.00327239323038664	-5.72223368702671	16	3	0.0115830115830116	259	13465	70873,19084,12788	Cnbd2,Prkar1a,Cnga1
PS50898	RBD	0.00726162194920787	-4.9251520661157	7	2	0.00772200772200772	259	13465	110157,21844	Raf1,Tiam1
PS01159	WW_DOMAIN_1	0.00774917719696706	-4.8601686093864	41	4	0.0154440154440154	259	13465	22288,233765,52357,83814	Utrn,Plekha7,Wwc2,Nedd4l
PS50238	RHOGAP	0.00818634646946471	-4.80528757717227	65	5	0.0193050193050193	259	13465	110279,71435,216445,212285,18708	Bcr,Arhgap21,Arhgap9,Arap2,Pik3r1
PS51757	TH1	0.00955990922678809	-4.65017704706975	8	2	0.00772200772200772	259	13465	71602,338367	Myo1e,Myo1d
PS00010	ASX_HYDROXYL	0.00999115424502861	-4.60605515295301	95	6	0.0231660231660232	259	13465	14456,634731,12614,170757,77446,16835	Gas6,Susd1,Celsr1,Adgrl4,Heg1,Ldlr
PS00149	SULFATASE_2	0.0121363605321088	-4.41154932972153	9	2	0.00772200772200772	259	13465	74008,11881	Arsg,Arsb
PS00221	MIP	0.0121363605321088	-4.41154932972153	9	2	0.00772200772200772	259	13465	11826,64008	Aqp1,Aqp9
PS50195	PX	0.0124819330970865	-4.38347303243606	47	4	0.0154440154440154	259	13465	71982,170625,17969,101113	Snx10,Snx18,Ncf1,Snx21
PS00243	INTEGRIN_BETA	0.0149795088216103	-4.20107209037521	10	2	0.00772200772200772	259	13465	16416,16419	Itgb3,Itgb5
PS00524	SMB_1	0.0149795088216103	-4.20107209037521	10	2	0.00772200772200772	259	13465	18605,19011	Enpp1,Endou
PS50020	WW_DOMAIN_2	0.015414377523951	-4.1724545996497	50	4	0.0154440154440154	259	13465	22288,233765,52357,83814	Utrn,Plekha7,Wwc2,Nedd4l
PS50004	C2	0.0173070021589587	-4.05664411029446	138	7	0.027027027027027	259	13465	52357,18755,16443,224860,110279,83814,114713	Wwc2,Prkch,Itsn1,Plcl2,Bcr,Nedd4l,Rasa2
PS00251	TNF_1	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	22035,22164	Tnfsf10,Tnfsf4
PS00162	ALPHA_CA_1	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	12349,12350	Car2,Car3
PS50958	SMB_2	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	19011,18605	Endou,Enpp1
PS51650	C2_DOCK	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	67299,68813	Dock7,Dock5
PS50031	EH	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	19707,16443	Reps1,Itsn1
PS51651	DOCKER	0.0180782223205313	-4.01304725183159	11	2	0.00772200772200772	259	13465	68813,67299	Dock5,Dock7
PS01062	HMG_COA_LYASE	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	15356	Hmgcl
PS51959	ENDOU	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	19011	Endou
PS01105	RIBOSOMAL_L35AE	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	57808	Rpl35a
PS50955	LEM_LIKE	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	21917	Tmpo
PS01106	RIBOSOMAL_L18E	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	19899	Rpl18
PS00231	F_ACTIN_CAPPING_BETA	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	12345	Capzb
PS01171	RIBOSOMAL_L21E	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	19933	Rpl21
PS00700	RIBOSOMAL_L6_2	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	20005	Rpl9
PS01190	RIBOSOMAL_L36E	0.019235053843127	-3.95102094355502	1	1	0.00386100386100386	259	13465	54217	Rpl36
PS01013	OSBP	0.0214216959536908	-3.84335104092076	12	2	0.00772200772200772	259	13465	71720,100273	Osbpl3,Osbpl9
PS00523	SULFATASE_1	0.0214216959536908	-3.84335104092076	12	2	0.00772200772200772	259	13465	11881,74008	Arsb,Arsg
PS50042	CNMP_BINDING_3	0.0231354341115002	-3.76638989252431	32	3	0.0115830115830116	259	13465	70873,12788,19084	Cnbd2,Cnga1,Prkar1a
PS51064	IRS_PTB	0.0249994429700966	-3.6889017355583	13	2	0.00772200772200772	259	13465	13448,384783	Dok1,Irs2
PS00036	BZIP_BASIC	0.0271433625717557	-3.60662273498565	34	3	0.0115830115830116	259	13465	208647,11908,12014	Creb3l2,Atf1,Bach2
PS50077	HEAT_REPEAT	0.0288012867746525	-3.54733521316291	14	2	0.00772200772200772	259	13465	76499,76707	Clasp2,Clasp1
PS01187	EGF_CA	0.0335459093949182	-3.3948403486338	93	5	0.0193050193050193	259	13465	170757,14456,634731,16835,77446	Adgrl4,Gas6,Susd1,Ldlr,Heg1
PS51456	MYOSIN_MOTOR	0.0361940218549746	-3.31886131591565	38	3	0.0115830115830116	259	13465	360013,71602,338367	Myo18a,Myo1e,Myo1d
PS00984	UROTENSIN_II	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	24111	Uts2
PS00585	RIBOSOMAL_S5	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	16898	Rps2
PS00770	AA_TRANSFER_CLASS_4	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	12035	Bcat1
PS51020	SPONDIN	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	100689	Spon2
PS00055	RIBOSOMAL_S12	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	66475	Rps23
PS01202	MAP_2	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	56307	Metap2
PS00521	P5CR	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	69051	Pycr2
PS01108	RIBOSOMAL_L24	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	19941	Rpl26
PS51811	ZF_CCHC_HIVEP	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	110521	Hivep1
PS01257	RIBOSOMAL_L10E	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	110954	Rpl10
PS51859	RHO_BD	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	19878	Rock2
PS00838	INTERLEUKIN_4_13	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	16163	Il13
PS50881	S5_DSRBD	0.0381015215380138	-3.26750106226594	2	1	0.00386100386100386	259	13465	16898	Rps2
PS50200	RA	0.0386698036443309	-3.25269625110194	39	3	0.0115830115830116	259	13465	212285,54519,215653	Arap2,Apbb1ip,Rassf2
PS51144	ALPHA_CA_2	0.0460565120693013	-3.07788611326456	18	2	0.00772200772200772	259	13465	12350,12349	Car3,Car2
PS01186	EGF_2	0.0538669305975981	-2.92123852186737	213	8	0.0308880308880309	259	13465	77446,16835,634731,16419,16416,12614,14456,170757	Heg1,Ldlr,Susd1,Itgb5,Itgb3,Celsr1,Gas6,Adgrl4
PS50057	FERM_3	0.0552623683080268	-2.8956631028586	45	3	0.0115830115830116	259	13465	19250,16452,209630	Ptpn14,Jak2,Frmd4a
PS00660	FERM_1	0.055785601918918	-2.88623947301729	20	2	0.00772200772200772	259	13465	19250,209630	Ptpn14,Frmd4a
PS01220	PBP	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	73523	Pebp4
PS00805	CALRETICULIN_REPEAT	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	108802	Calr4
PS51790	MSRB	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	76467	Msrb2
PS50991	PYR_CT	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	15356	Hmgcl
PS00131	CARBOXYPEPT_SER_SER	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	71287	Cpvl
PS00433	PHOSPHOFRUCTOKINASE	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	18642	Pfkm
PS51506	CBL_PTB	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	208650	Cblb
PS50063	BH4_2	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	12043	Bcl2
PS50953	KID	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	11908	Atf1
PS52027	ZF_C2HC_C3H	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	66758	Zfp474
PS51165	THUMP	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	72167	Thumpd2
PS01260	BH4_1	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	12043	Bcl2
PS51062	RUNT	0.0566064391594939	-2.87163253417507	3	1	0.00386100386100386	259	13465	12399	Runx3
PS51845	PDEASE_I_2	0.060895603703068	-2.7985942956558	21	2	0.00772200772200772	259	13465	23984,238871	Pde10a,Pde4d
PS00126	PDEASE_I_1	0.060895603703068	-2.7985942956558	21	2	0.00772200772200772	259	13465	238871,23984	Pde4d,Pde10a
PS00345	ETS_DOMAIN_1	0.060895603703068	-2.7985942956558	21	2	0.00772200772200772	259	13465	20375,13876	Spi1,Erg
PS00652	TNFR_NGFR_1	0.060895603703068	-2.7985942956558	21	2	0.00772200772200772	259	13465	21942,94185	Tnfrsf9,Tnfrsf21
PS50297	ANK_REP_REGION	0.0613668356828042	-2.79088572521396	219	8	0.0308880308880309	259	13465	13196,80859,140577,12578,18033,21981,81702,65255	Asap1,Nfkbiz,Ankrd6,Cdkn2a,Nfkb1,Ppp1r13b,Ankrd17,Asb4
PS00661	FERM_2	0.0661585368489424	-2.71570134385372	22	2	0.00772200772200772	259	13465	209630,19250	Frmd4a,Ptpn14
PS50115	ARFGAP	0.0715666791687846	-2.63712568807361	23	2	0.00772200772200772	259	13465	13196,212285	Asap1,Arap2
PS50217	BZIP	0.0746864505244939	-2.59445658850993	51	3	0.0115830115830116	259	13465	12014,11908,208647	Bach2,Atf1,Creb3l2
PS00064	L_LDH	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	16828	Ldha
PS00476	FATTY_ACID_DESATUR_1	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	20249	Scd1
PS52003	OCA	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	80859	Nfkbiz
PS51328	L_LECTIN_LIKE	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	70361	Lman1
PS51296	RIESKE	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	12763	Cmah
PS00391	ATPASE_NA_K_BETA_2	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	11931	Atp1b1
PS51080	CTF_NFI_2	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	18027	Nfia
PS00349	CTF_NFI_1	0.0747567089728538	-2.59351631859362	4	1	0.00386100386100386	259	13465	18027	Nfia
PS50096	IQ	0.0758533453101463	-2.57895346987346	83	4	0.0154440154440154	259	13465	360013,71602,66425,338367	Myo18a,Myo1e,Pcp4l1,Myo1d
PS00346	ETS_DOMAIN_2	0.0771125469379415	-2.56248927575224	24	2	0.00772200772200772	259	13465	13876,20375	Erg,Spi1
PS51285	AGC_KINASE_CTER	0.0817481724729662	-2.5041118245254	53	3	0.0115830115830116	259	13465	19878,18755,320129	Rock2,Prkch,Grk3
PS00455	AMP_BINDING	0.082788888617113	-2.49146142204143	25	2	0.00772200772200772	259	13465	433256,14081	Acsl5,Acsl1
PS51257	PROKAR_LIPOPROTEIN	0.0839399246094188	-2.47765391922555	86	4	0.0154440154440154	259	13465	16828,229473,108802,14190	Ldha,Tmem131l,Calr4,Fgl2
PS00108	PROTEIN_KINASE_ST	0.0862726750718395	-2.45024235823901	317	10	0.0386100386100386	259	13465	71751,21813,18755,320129,26398,53608,110157,19878,18647,20817	Map3k13,Tgfbr2,Prkch,Grk3,Map2k4,Map3k6,Raf1,Rock2,Cdk14,Srpk2
PS50061	ETS_DOMAIN_3	0.0885886787625081	-2.42375120873976	26	2	0.00772200772200772	259	13465	13876,20375	Erg,Spi1
PS50026	EGF_3	0.0917845520105205	-2.38831127426865	200	7	0.027027027027027	259	13465	77446,16835,634731,11495,14456,12614,170757	Heg1,Ldlr,Susd1,Adam2,Gas6,Celsr1,Adgrl4
PS51053	SERTA	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	58172	Sertad2
PS00804	CALRETICULIN_2	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	108802	Calr4
PS00803	CALRETICULIN_1	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	108802	Calr4
PS00143	INSULINASE	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	15925	Ide
PS00378	HEXOKINASE_1	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	15275	Hk1
PS51847	SMP	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	21763	Tex2
PS51748	HEXOKINASE_2	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	15275	Hk1
PS51498	MABP	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	102442	Dennd4a
PS00390	ATPASE_NA_K_BETA_1	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	11931	Atp1b1
PS01204	REL_1	0.0925591019907988	-2.37990789805823	5	1	0.00386100386100386	259	13465	18033	Nfkb1
PS50104	TIR	0.100531597496952	-2.29728319794251	28	2	0.00772200772200772	259	13465	107527,16182	Il1rl2,Il18r1
PS50821	PAZ	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	239528	Ago2
PS50822	PIWI	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	239528	Ago2
PS00350	MADS_BOX_1	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	17260	Mef2c
PS51335	ELMO	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	140580	Elmo1
PS51309	PABC	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	381404	Pabpc1l
PS50066	MADS_BOX_2	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	17260	Mef2c
PS00113	ADENYLATE_KINASE	0.11002026042865	-2.20709074443483	6	1	0.00386100386100386	259	13465	11637	Ak2
PS50088	ANK_REPEAT	0.11318205294414	-2.1787576686786	211	7	0.027027027027027	259	13465	65255,80859,21981,81702,18033,13196,140577	Asb4,Nfkbiz,Ppp1r13b,Ankrd17,Nfkb1,Asap1,Ankrd6
PS00107	PROTEIN_KINASE_ATP	0.115179115527466	-2.16126683597923	379	11	0.0424710424710425	259	13465	18755,320129,16452,18647,16590,21813,20817,19878,53608,110157,26398	Prkch,Grk3,Jak2,Cdk14,Kit,Tgfbr2,Srpk2,Rock2,Map3k6,Raf1,Map2k4
PS50221	GPS	0.11920855323542	-2.12688077159447	31	2	0.00772200772200772	259	13465	170757,12614	Adgrl4,Celsr1
PS51184	JMJC	0.11920855323542	-2.12688077159447	31	2	0.00772200772200772	259	13465	30841,338523	Kdm2b,Kdm7a
PS50081	ZF_DAG_PE_2	0.125228374349519	-2.07761621380867	64	3	0.0115830115830116	259	13465	18755,19878,110157	Prkch,Rock2,Raf1
PS01259	BH3	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	12043	Bcl2
PS51721	G_CP	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	230737	Gnl2
PS50954	LEM	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	21917	Tmpo
PS51460	GAR	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	237436	Gas2l3
PS51283	DUSP	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	14479	Usp15
PS00406	ACTINS_1	0.127146700172476	-2.06241373969241	7	1	0.00386100386100386	259	13465	238880	Actbl2
PS50001	SH2	0.140475875016962	-1.96271951301618	104	4	0.0154440154440154	259	13465	217169,18708,16452,14784	Tns4,Pik3r1,Jak2,Grb2
PS51914	MRH	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	216440	Os9
PS51455	PIPK	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	18719	Pip5k1b
PS51375	PPR	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	102442	Dennd4a
PS51089	HP	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	225115	Svil
PS00166	ENOYL_COA_HYDRATASE	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	11992	Auh
PS00240	RECEPTOR_TYR_KIN_III	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	16590	Kit
PS00960	BTG_1	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	12227	Btg2
PS01203	BTG_2	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	12227	Btg2
PS51113	ZF_BTK	0.143944813163923	-1.93832529477929	8	1	0.00386100386100386	259	13465	114713	Rasa2
PS50106	PDZ	0.153798245873826	-1.87211362721734	147	5	0.0193050193050193	259	13465	21872,360013,277360,21844,71435	Tjp1,Myo18a,Prex1,Tiam1,Arhgap21
PS50025	LAM_G_DOMAIN	0.158733812438155	-1.84052661530203	37	2	0.00772200772200772	259	13465	12614,14456	Celsr1,Gas6
PS01121	CASPASE_HIS	0.160420869746618	-1.82995448137361	9	1	0.00386100386100386	259	13465	12368	Casp6
PS50951	SARAH	0.160420869746618	-1.82995448137361	9	1	0.00386100386100386	259	13465	215653	Rassf2
PS00601	IRF_1	0.160420869746618	-1.82995448137361	9	1	0.00386100386100386	259	13465	16363	Irf2
