TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	1.85988139911712e-10	-22.4053382081639	252	24	0.121212121212121	198	9882	21844,67016,19878,71720,13196,110279,54519,277360,71435,20662,320129,216445,384783,212285,224860,13448,100273,16443,71801,106877,219140,19159,233765,114713	Tiam1,Tbc1d2b,Rock2,Osbpl3,Asap1,Bcr,Apbb1ip,Prex1,Arhgap21,Sos1,Grk3,Arhgap9,Irs2,Arap2,Plcl2,Dok1,Osbpl9,Itsn1,Plekhf2,Afap1l1,Spata13,Cyth3,Plekha7,Rasa2
SM00325	RhoGEF	0.000303640896111157	-8.09966481759112	65	7	0.0353535353535354	198	9882	110279,277360,20662,219140,100045792,21844,16443	Bcr,Prex1,Sos1,Spata13,Ect2l,Tiam1,Itsn1
SM00326	SH3	0.000570502352587991	-7.4689932649406	196	12	0.0606060606060606	198	9882	17969,68813,13196,170625,225608,18708,21981,71602,216445,16443,219140,14784	Ncf1,Dock5,Asap1,Snx18,Sh3tc2,Pik3r1,Ppp1r13b,Myo1e,Arhgap9,Itsn1,Spata13,Grb2
SM01241	Integrin_b_cyt	0.0056820469331794	-5.170443735609	6	2	0.0101010101010101	198	9882	16416,16419	Itgb3,Itgb5
SM00455	RBD	0.00785033609747424	-4.84719893313948	7	2	0.0101010101010101	198	9882	110157,21844	Raf1,Tiam1
SM00201	SO	0.00785033609747424	-4.84719893313948	7	2	0.0101010101010101	198	9882	19011,18605	Endou,Enpp1
SM00324	RhoGAP	0.00899824564876406	-4.71072564856194	64	5	0.0252525252525253	198	9882	216445,110279,18708,212285,71435	Arhgap9,Bcr,Pik3r1,Arap2,Arhgap21
SM00312	PX	0.00965793987507207	-4.63997491695169	42	4	0.0202020202020202	198	9882	170625,71982,17969,101113	Snx18,Snx10,Ncf1,Snx21
SM01242	Integrin_B_tail	0.010329797628879	-4.57272258666408	8	2	0.0101010101010101	198	9882	16416,16419	Itgb3,Itgb5
SM00187	INB	0.0131072192786087	-4.33459211059921	9	2	0.0101010101010101	198	9882	16416,16419	Itgb3,Itgb5
SM01349	TOG	0.0131072192786087	-4.33459211059921	9	2	0.0101010101010101	198	9882	76499,76707	Clasp2,Clasp1
SM00456	WW	0.0142473968690603	-4.25118106481016	47	4	0.0202020202020202	198	9882	52357,83814,233765,22288	Wwc2,Nedd4l,Plekha7,Utrn
SM00027	EH	0.0195050828945263	-3.93708018612092	11	2	0.0101010101010101	198	9882	16443,19707	Itsn1,Reps1
SM01308	RICTOR_N	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78757	Rictor
SM01303	RasGEF_N_2	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78757	Rictor
SM01261	Thymopoietin	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	21917	Tmpo
SM01309	RICTOR_phospho	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78757	Rictor
SM01310	RICTOR_V	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78757	Rictor
SM01402	Ribosomal_S27	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78294	Rps27a
SM01307	RICTOR_M	0.0200364298724564	-3.91020316871311	1	1	0.00505050505050505	198	9882	78757	Rictor
SM00310	PTBI	0.023101057809645	-3.76787686987752	12	2	0.0101010101010101	198	9882	13448,384783	Dok1,Irs2
SM00100	cNMP	0.0235884030568634	-3.74700008362072	31	3	0.0151515151515152	198	9882	70873,19084,12788	Cnbd2,Prkar1a,Cnga1
SM00239	C2	0.034601006203428	-3.36387251631737	121	6	0.0303030303030303	198	9882	83814,18755,114713,110279,224860,16443	Nedd4l,Prkch,Rasa2,Bcr,Plcl2,Itsn1
SM01244	IRS	0.0353381016354798	-3.34279353069583	15	2	0.0101010101010101	198	9882	384783,13448	Irs2,Dok1
SM00179	EGF_CA	0.0358084284771174	-3.32957198096361	122	6	0.0303030303030303	198	9882	77446,16835,12614,14456,170757,634731	Heg1,Ldlr,Celsr1,Gas6,Adgrl4,Susd1
SM01074	Cdc6_C	0.0396733883667405	-3.22707463427082	2	1	0.00505050505050505	198	9882	23834	Cdc6
SM00190	IL4_13	0.0396733883667405	-3.22707463427082	2	1	0.00505050505050505	198	9882	16163	Il13
SM00207	TNF	0.0398635915226488	-3.22229186482834	16	2	0.0101010101010101	198	9882	22164,22035	Tnfsf4,Tnfsf10
SM00242	MYSc	0.0400080406603844	-3.2186748285597	38	3	0.0151515151515152	198	9882	338367,71602,360013	Myo1d,Myo1e,Myo18a
SM00282	LamG	0.0455270339105004	-3.08944897758445	40	3	0.0151515151515152	198	9882	12819,12614,14456	Col15a1,Celsr1,Gas6
SM01057	Carb_anhydrase	0.0495220022833222	-3.005338217592	18	2	0.0101010101010101	198	9882	12349,12350	Car2,Car3
SM00981	THUMP	0.0589188002196808	-2.83159505046535	3	1	0.00505050505050505	198	9882	72167	Thumpd2
SM00265	BH4	0.0589188002196808	-2.83159505046535	3	1	0.00505050505050505	198	9882	12043	Bcl2
SM01151	DUF1518	0.0589188002196808	-2.83159505046535	3	1	0.00505050505050505	198	9882	17977	Ncoa1
SM00133	S_TK_X	0.0608653283259516	-2.7990915878042	45	3	0.0151515151515152	198	9882	320129,19878,18755	Grk3,Rock2,Prkch
SM00248	ANK	0.0632062987967526	-2.76135131828992	212	8	0.0404040404040404	198	9882	18033,65255,140577,80859,81702,12578,21981,13196	Nfkb1,Asb4,Ankrd6,Nfkbiz,Ankrd17,Cdkn2a,Ppp1r13b,Asap1
SM00295	B41	0.0675932706328336	-2.69424684773991	47	3	0.0151515151515152	198	9882	16452,19250,209630	Jak2,Ptpn14,Frmd4a
SM00208	TNFR	0.0767674383849394	-2.56697470809594	23	2	0.0101010101010101	198	9882	21942,94185	Tnfrsf9,Tnfrsf21
SM00105	ArfGap	0.0767674383849394	-2.56697470809594	23	2	0.0101010101010101	198	9882	13196,212285	Asap1,Arap2
SM00255	TIR	0.0767674383849394	-2.56697470809594	23	2	0.0101010101010101	198	9882	16182,107527	Il18r1,Il1rl2
SM01007	Aldolase_II	0.0777804337412143	-2.55386537375666	4	1	0.00505050505050505	198	9882	27360	Add3
SM00338	BRLZ	0.0820076223520261	-2.50094308052547	51	3	0.0151515151515152	198	9882	208647,12014,11908	Creb3l2,Bach2,Atf1
SM01196	FERM_C	0.0887210273580538	-2.42225835622738	25	2	0.0101010101010101	198	9882	209630,19250	Frmd4a,Ptpn14
SM00413	ETS	0.0948916331420861	-2.35501974224684	26	2	0.0101010101010101	198	9882	13876,20375	Erg,Spi1
SM00739	KOW	0.0962659038862606	-2.34064108428214	5	1	0.00505050505050505	198	9882	19941	Rpl26
SM00540	LEM	0.0962659038862606	-2.34064108428214	5	1	0.00505050505050505	198	9882	21917	Tmpo
SM00892	Endonuclease_NS	0.0962659038862606	-2.34064108428214	5	1	0.00505050505050505	198	9882	18605	Enpp1
SM01163	DUF1785	0.0962659038862606	-2.34064108428214	5	1	0.00505050505050505	198	9882	239528	Ago2
SM00005	DEATH	0.101181443807217	-2.29083990053033	27	2	0.0101010101010101	198	9882	94185,18033	Tnfrsf21,Nfkb1
SM00150	SPEC	0.107583264802015	-2.22949017493053	28	2	0.0101010101010101	198	9882	22288,238161	Utrn,Akap6
SM00314	RA	0.11409013939535	-2.17076644657296	29	2	0.0101010101010101	198	9882	215653,54519	Rassf2,Apbb1ip
SM00303	GPS	0.11409013939535	-2.17076644657296	29	2	0.0101010101010101	198	9882	170757,12614	Adgrl4,Celsr1
SM00558	JmjC	0.11409013939535	-2.17076644657296	29	2	0.0101010101010101	198	9882	338523,30841	Kdm7a,Kdm2b
SM00730	PSN	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	66552	Sppl2a
SM00432	MADS	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	17260	Mef2c
SM00949	PAZ	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	239528	Ago2
SM00477	NUC	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	18605	Enpp1
SM00695	DUSP	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	14479	Usp15
SM00950	Piwi	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	239528	Ago2
SM00394	RIIa	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	19084	Prkar1a
SM00517	PolyA	0.114382675282499	-2.1682056513429	6	1	0.00505050505050505	198	9882	381404	Pabpc1l
SM00546	CUE	0.1321380651461	-2.02390795494181	7	1	0.00505050505050505	198	9882	103841	Cuedc1
SM00243	GAS2	0.1321380651461	-2.02390795494181	7	1	0.00505050505050505	198	9882	237436	Gas2l3
SM00065	GAF	0.1321380651461	-2.02390795494181	7	1	0.00505050505050505	198	9882	23984	Pde10a
SM00109	C1	0.136614495979927	-1.99059221756415	64	3	0.0151515151515152	198	9882	19878,110157,18755	Rock2,Raf1,Prkch
SM00181	EGF	0.14478847128895	-1.93248142037045	177	6	0.0303030303030303	198	9882	16835,14456,170757,77446,634731,12614	Ldlr,Gas6,Adgrl4,Heg1,Susd1,Celsr1
SM00252	SH2	0.148112562179173	-1.90978273902893	102	4	0.0202020202020202	198	9882	18708,16452,217169,14784	Pik3r1,Jak2,Tns4,Grb2
SM00153	VHP	0.149539246219042	-1.9001964040875	8	1	0.00505050505050505	198	9882	225115	Svil
SM00099	btg1	0.149539246219042	-1.9001964040875	8	1	0.00505050505050505	198	9882	12227	Btg2
SM00330	PIPKc	0.149539246219042	-1.9001964040875	8	1	0.00505050505050505	198	9882	18719	Pip5k1b
SM00262	GEL	0.149539246219042	-1.9001964040875	8	1	0.00505050505050505	198	9882	225115	Svil
SM00107	BTK	0.149539246219042	-1.9001964040875	8	1	0.00505050505050505	198	9882	114713	Rasa2
SM00317	SET	0.16204238476495	-1.81989734361851	36	2	0.0101010101010101	198	9882	12142,14013	Prdm1,Mecom
SM00114	CARD	0.166593249585228	-1.79220006876641	9	1	0.00505050505050505	198	9882	11797	Birc2
SM00348	IRF	0.166593249585228	-1.79220006876641	9	1	0.00505050505050505	198	9882	16363	Irf2
SM00273	ENTH	0.166593249585228	-1.79220006876641	9	1	0.00505050505050505	198	9882	216705	Clint1
SM00218	ZU5	0.166593249585228	-1.79220006876641	9	1	0.00505050505050505	198	9882	21872	Tjp1
SM00164	TBC	0.169165694578937	-1.77687660308222	37	2	0.0101010101010101	198	9882	98910,67016	Usp6nl,Tbc1d2b
SM00228	PDZ	0.175869593514884	-1.73801250451825	148	5	0.0252525252525253	198	9882	360013,277360,21844,71435,21872	Myo18a,Prex1,Tiam1,Arhgap21,Tjp1
SM00251	SAM_PNT	0.183306967461497	-1.69659311361231	10	1	0.00505050505050505	198	9882	13876	Erg
SM01039	BRICHOS	0.183306967461497	-1.69659311361231	10	1	0.00505050505050505	198	9882	68888	Gkn3
SM01190	EMP24_GP25L	0.183306967461497	-1.69659311361231	10	1	0.00505050505050505	198	9882	68581	Tmed10
SM00220	S_TKc	0.183991316097624	-1.69286671760848	359	10	0.0505050505050505	198	9882	19878,320129,110157,71751,18755,20817,53608,21813,26398,18647	Rock2,Grk3,Raf1,Map3k13,Prkch,Srpk2,Map3k6,Tgfbr2,Map2k4,Cdk14
SM00423	PSI	0.190828837260853	-1.65637839270454	40	2	0.0101010101010101	198	9882	16419,16416	Itgb5,Itgb3
SM00462	PTB	0.190828837260853	-1.65637839270454	40	2	0.0101010101010101	198	9882	100017,217169	Ldlrap1,Tns4
SM00177	ARF	0.198131820264428	-1.6188227108955	41	2	0.0101010101010101	198	9882	19341,235442	Rab4a,Rab8b
SM00238	BIR	0.199687155912254	-1.61100335754289	11	1	0.00505050505050505	198	9882	11797	Birc2
SM00460	TGc	0.199687155912254	-1.61100335754289	11	1	0.00505050505050505	198	9882	21817	Tgm2
SM00720	calpain_III	0.199687155912254	-1.61100335754289	11	1	0.00505050505050505	198	9882	12335	Capn3
SM00115	CASc	0.199687155912254	-1.61100335754289	11	1	0.00505050505050505	198	9882	12368	Casp6
SM00439	BAH	0.199687155912254	-1.61100335754289	11	1	0.00505050505050505	198	9882	68703	Rere
SM00523	DWA	0.215740437568008	-1.53367927181772	12	1	0.00505050505050505	198	9882	18027	Nfia
SM00232	JAB_MPN	0.215740437568008	-1.53367927181772	12	1	0.00505050505050505	198	9882	17463	Psmd7
