TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0002250	adaptive immune response	6.955103978901499e-49	-110.887193781207	488	125	0.0775434243176179	1612	29090	630486,16453,101540,14127,791089,100775175,239743,14130,12260,20723,14360,53314,780818,75345,12051,20556,14125,629860,380824,238447,668589,780792,777686,780939,780825,629884,12262,56743,23882,18034,12229,16069,243461,380808,619833,240754,381776,777780,636260,238418,70450,15040,628614,16016,16019,380797,780891,18106,629822,20963,12500,780799,16768,13383,12520,622728,780932,72049,619916,385253,668591,20848,633568,638605,380795,17480,171285,668474,16185,15894,380823,16189,54123,12504,780794,629826,629915,668421,780802,21803,780829,110612,668478,213570,100775174,633457,98682,83964,780931,435321,19698,74732,434609,13136,640046,17874,60533,238412,780831,780884,382696,404711,668395,77799,13848,432702,12523,619846,16797,629842,780938,16174,780960,27218,641178,18733,12259,16149,74131,20715,12984,17096,17474,12518,629871	Ighv2-6,Jak3,Prkd2,Fcer1g,Ighv2-9-1,Ighv1-82,Klhl6,Fcgr2b,C1qb,Serpinb9,Fyn,Batf,Ighv11-2,Slamf7,Bcl3,Slfn2,Fcer1a,Ighv1-12,Ighv1-66,Igha,Ighv1-80,Ighv5-15,Ighv2-2,Ighv1-58,Ighv9-3,Ighv1-26,C1qc,Lat2,Gadd45g,Nfkb2,Btk,Jchain,Igkv7-33,Ighv10-1,Ighv1-69,Lax1,Igkv2-112,Ighv5-6,Ighv9-4,Ighv14-3,Unc13d,H2-T23,Ighv1-34,Ighg2b,Ighm,Ighd,Ighv1-39,Cd244a,Ighv7-3,Syk,Cd3d,Ighv7-1,Lag3,Dlg1,Cd81,Ighv1-75,Ighv1-55,Tnfrsf13c,Ighv1-72,Igkv4-55,Ighv1-81,Stat3,Ighv5-16,Ighv2-5,Ighg3,Mpl,Havcr2,Ighv1-7,Il2rb,Icam1,Ighv1-64,Il4,Irf7,Cd4,Ighv5-17,Ighv14-4,Ighv1-47,Ighv14-2,Ighv4-1,Tgfb1,Ighv3-6,Iglv2,Ighv1-9,Ighv1-78,Ighv1-76,Ighv3-5,Mfsd6,Jam3,Ighv1-53,Ighv12-3,Relb,Stx11,Ighv1-84,Cd55,Ighv2-9,Myd88,Cd274,Ighv2-3,Ighv3-8,Ighv1-23,Ighv1-52,Ighg2c,Ighv5-12,Sla2,Ephb6,Ighv1-4,Cd84,Igkv5-48,Lat,Ighv13-2,Ighv8-8,Il18rap,Ighv8-12,Slamf1,Ighv5-9-1,Pirb,C1qa,Cd74,Sash3,Serpina3g,Csf2rb2,Lyn,Clec4d,Cd79a,Ighv1-18
GO:0002443	leukocyte mediated immunity	4.79738898873809e-46	-104.350842468492	381	107	0.0663771712158809	1612	29090	56743,629884,12262,12229,619833,225825,20619,380808,636260,238418,70450,777780,628614,15040,217303,16016,16019,780891,380797,629822,20963,780799,16768,622728,12520,13383,27278,780932,619916,668591,630486,14127,14130,791089,100775175,12260,20723,780818,53314,629860,12051,14125,20556,380824,238447,668589,780792,777686,98365,780939,77777,780825,84544,13136,434609,17874,640046,238412,214084,780884,780831,11542,404711,382696,668395,432702,93670,13848,16797,629842,780960,780938,16174,641178,18733,12259,16149,74131,12481,12984,17096,629871,638605,633568,380795,668474,17480,380823,12890,16185,15894,110279,54123,16189,780794,629826,629915,668421,780802,780829,668478,213570,100775174,633457,435321,780931,74732	Lat2,Ighv1-26,C1qc,Btk,Ighv1-69,Cd226,Snap23,Ighv10-1,Ighv9-4,Ighv14-3,Unc13d,Ighv5-6,Ighv1-34,H2-T23,Cd300a,Ighg2b,Ighm,Ighv1-39,Ighd,Ighv7-3,Syk,Ighv7-1,Lag3,Ighv1-75,Cd81,Dlg1,Clnk,Ighv1-55,Ighv1-72,Ighv1-81,Ighv2-6,Fcer1g,Fcgr2b,Ighv2-9-1,Ighv1-82,C1qb,Serpinb9,Ighv11-2,Batf,Ighv1-12,Bcl3,Fcer1a,Slfn2,Ighv1-66,Igha,Ighv1-80,Ighv5-15,Ighv2-2,Slamf9,Ighv1-58,Ulbp1,Ighv9-3,Cd96,Cd55,Ighv1-84,Myd88,Ighv2-9,Ighv2-3,Slc18a2,Ighv1-23,Ighv3-8,Adora3,Ighg2c,Ighv1-52,Ighv5-12,Ighv1-4,Tac4,Ephb6,Lat,Ighv13-2,Ighv8-12,Ighv8-8,Il18rap,Ighv5-9-1,Pirb,C1qa,Cd74,Sash3,Cd2,Csf2rb2,Lyn,Ighv1-18,Ighv2-5,Ighv5-16,Ighg3,Ighv1-7,Mpl,Ighv1-64,Cplx2,Il2rb,Icam1,Bcr,Irf7,Il4,Ighv5-17,Ighv14-4,Ighv1-47,Ighv14-2,Ighv4-1,Ighv3-6,Ighv1-9,Ighv1-78,Ighv1-76,Ighv3-5,Ighv12-3,Ighv1-53,Stx11
GO:0002440	production of molecular mediator of immune response	2.23359142340072e-43	-98.2075482049753	260	86	0.0533498759305211	1612	29090	628027,243431,16174,381831,108024,380797,692165,20963,381784,434041,26362,620088,385109,16098,243439,545850,170743,78412,13383,692161,74131,667914,232065,236047,434586,243420,434033,385253,628571,692169,667550,243451,677858,17874,384515,243423,384419,12229,667865,692245,243461,667683,384411,225825,434025,667859,240754,381776,404743,108022,667899,16019,619846,385120,637227,434024,626347,243433,628127,667940,384514,98365,545848,434031,235952,640340,434039,84544,16431,620017,381778,692154,628072,14127,14130,213684,12493,545847,74552,53314,434040,667924,14125,16189,546213,545851	Igkv1-133,Igkv9-124,Il18rap,Igkv4-58,Igkv6-20,Ighd,Igkv10-96,Syk,Igkv6-25,Igkv8-27,Axl,Igkv18-36,Igkv4-72,Igkv1-117,Igkv14-100,Igkv5-45,Tlr7,Cyren,Dlg1,Igkv19-93,Sash3,Igkv3-12,Igkv8-19,Igkv4-74,Igkv4-71,Igkv1-135,Igkv4-91,Igkv4-55,Igkv4-63,Igkv15-103,Igkv10-94,Igkv4-86,Igkv8-24,Myd88,Igkv4-68,Igkv1-132,Igkv8-30,Btk,Igkv6-17,Igkv12-46,Igkv7-33,Igkv4-59,Igkv12-89,Cd226,Igkv9-120,Igkv8-18,Lax1,Igkv2-112,Iglv3,Igkv6-15,Igkv6-13,Ighm,Igkv5-48,Igkv4-70,Igkv6-23,Igkv1-122,Igkv3-4,Igkv17-127,Igkv14-126,Igkv3-5,Igkv4-57-1,Slamf9,Igkv4-80,Igkv10-95,Igkv4-57,Igkv8-16,Igkv6-32,Cd96,Itm2a,Igkv5-39,Igkv16-104,Igkv1-88,Igkv14-130,Fcer1g,Fcgr2b,Igkv4-79,Cd37,Igkv14-111,Nipal3,Batf,Igkv8-28,Igkv3-10,Fcer1a,Il4,Igkv4-53,Igkv12-44
GO:0002377	immunoglobulin production	3.59086180365506e-43	-97.7327667683244	190	74	0.0459057071960298	1612	29090	213684,14130,12493,381778,628072,692154,16189,546213,667924,545851,434040,53314,74552,545847,243433,626347,384514,667940,628127,637227,434024,434039,620017,16431,235952,434031,545848,640340,384411,667683,692245,243461,434025,384419,243423,384515,667550,243451,677858,667865,12229,619846,16019,667899,385120,667859,240754,381776,108022,404743,16098,243439,385109,78412,545850,692165,380797,381831,108024,628027,243431,620088,434041,381784,385253,434033,243420,692169,628571,434586,667914,232065,236047,692161	Igkv4-79,Fcgr2b,Cd37,Igkv16-104,Igkv14-130,Igkv1-88,Il4,Igkv4-53,Igkv3-10,Igkv12-44,Igkv8-28,Batf,Nipal3,Igkv14-111,Igkv17-127,Igkv3-4,Igkv4-57-1,Igkv3-5,Igkv14-126,Igkv6-23,Igkv1-122,Igkv6-32,Igkv5-39,Itm2a,Igkv4-57,Igkv10-95,Igkv4-80,Igkv8-16,Igkv12-89,Igkv4-59,Igkv12-46,Igkv7-33,Igkv9-120,Igkv8-30,Igkv1-132,Igkv4-68,Igkv10-94,Igkv4-86,Igkv8-24,Igkv6-17,Btk,Igkv5-48,Ighm,Igkv6-13,Igkv4-70,Igkv8-18,Lax1,Igkv2-112,Igkv6-15,Iglv3,Igkv1-117,Igkv14-100,Igkv4-72,Cyren,Igkv5-45,Igkv10-96,Ighd,Igkv4-58,Igkv6-20,Igkv1-133,Igkv9-124,Igkv18-36,Igkv8-27,Igkv6-25,Igkv4-55,Igkv4-91,Igkv1-135,Igkv15-103,Igkv4-63,Igkv4-71,Igkv3-12,Igkv8-19,Igkv4-74,Igkv19-93
GO:0002449	lymphocyte mediated immunity	7.04091084129418e-43	-97.0594214560773	316	94	0.0583126550868486	1612	29090	629860,14125,20556,12051,780818,53314,14130,100775175,791089,20723,12260,630486,14127,84544,780939,77777,780825,780792,777686,380824,668589,238447,16019,16016,70450,238418,636260,777780,628614,15040,619833,225825,380808,12262,629884,12229,619916,668591,622728,12520,13383,780932,16768,780799,780891,380797,629822,54123,16189,780794,380823,15894,16185,380795,668474,17480,638605,633568,435321,780931,74732,100775174,633457,780829,213570,668478,629915,668421,780802,629826,629842,668395,432702,13848,780884,780831,382696,404711,17874,640046,13136,434609,238412,12481,12984,629871,74131,12259,16149,780960,16174,780938,18733,641178	Ighv1-12,Fcer1a,Slfn2,Bcl3,Ighv11-2,Batf,Fcgr2b,Ighv1-82,Ighv2-9-1,Serpinb9,C1qb,Ighv2-6,Fcer1g,Cd96,Ighv1-58,Ulbp1,Ighv9-3,Ighv5-15,Ighv2-2,Ighv1-66,Ighv1-80,Igha,Ighm,Ighg2b,Unc13d,Ighv14-3,Ighv9-4,Ighv5-6,Ighv1-34,H2-T23,Ighv1-69,Cd226,Ighv10-1,C1qc,Ighv1-26,Btk,Ighv1-72,Ighv1-81,Ighv1-75,Cd81,Dlg1,Ighv1-55,Lag3,Ighv7-1,Ighv1-39,Ighd,Ighv7-3,Irf7,Il4,Ighv5-17,Ighv1-64,Icam1,Il2rb,Ighg3,Ighv1-7,Mpl,Ighv2-5,Ighv5-16,Ighv12-3,Ighv1-53,Stx11,Ighv1-76,Ighv3-5,Ighv3-6,Ighv1-78,Ighv1-9,Ighv1-47,Ighv14-2,Ighv4-1,Ighv14-4,Ighv13-2,Ighv5-12,Ighv1-4,Ephb6,Ighv1-23,Ighv3-8,Ighv1-52,Ighg2c,Myd88,Ighv2-9,Cd55,Ighv1-84,Ighv2-3,Cd2,Csf2rb2,Ighv1-18,Sash3,C1qa,Cd74,Ighv8-12,Il18rap,Ighv8-8,Pirb,Ighv5-9-1
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1.0210670887298399e-42	-96.687725659882	331	96	0.0595533498759305	1612	29090	619833,380808,12262,629884,12229,18034,23882,16019,16016,70450,238418,636260,777780,628614,15040,780799,780891,380797,629822,619916,668591,622728,12520,13383,72049,780932,14130,239743,100775175,791089,12260,20723,630486,14127,629860,14125,20556,12051,780818,53314,780792,777686,380824,238447,668589,780939,780825,780831,780884,404711,382696,17874,640046,434609,13136,238412,629842,668395,432702,13848,12259,16149,780960,16174,780938,18733,641178,12984,629871,74131,380795,668474,17480,20848,638605,633568,16189,54123,780794,380823,15894,16185,780829,21803,213570,668478,629915,668421,780802,629826,435321,780931,74732,19698,100775174,633457	Ighv1-69,Ighv10-1,C1qc,Ighv1-26,Btk,Nfkb2,Gadd45g,Ighm,Ighg2b,Unc13d,Ighv14-3,Ighv9-4,Ighv5-6,Ighv1-34,H2-T23,Ighv7-1,Ighv1-39,Ighd,Ighv7-3,Ighv1-72,Ighv1-81,Ighv1-75,Cd81,Dlg1,Tnfrsf13c,Ighv1-55,Fcgr2b,Klhl6,Ighv1-82,Ighv2-9-1,C1qb,Serpinb9,Ighv2-6,Fcer1g,Ighv1-12,Fcer1a,Slfn2,Bcl3,Ighv11-2,Batf,Ighv5-15,Ighv2-2,Ighv1-66,Igha,Ighv1-80,Ighv1-58,Ighv9-3,Ighv3-8,Ighv1-23,Ighg2c,Ighv1-52,Myd88,Ighv2-9,Ighv1-84,Cd55,Ighv2-3,Ighv13-2,Ighv5-12,Ighv1-4,Ephb6,C1qa,Cd74,Ighv8-12,Il18rap,Ighv8-8,Pirb,Ighv5-9-1,Csf2rb2,Ighv1-18,Sash3,Ighg3,Ighv1-7,Mpl,Stat3,Ighv2-5,Ighv5-16,Il4,Irf7,Ighv5-17,Ighv1-64,Icam1,Il2rb,Ighv3-6,Tgfb1,Ighv1-78,Ighv1-9,Ighv1-47,Ighv14-2,Ighv4-1,Ighv14-4,Ighv12-3,Ighv1-53,Stx11,Relb,Ighv1-76,Ighv3-5
GO:0019724	B cell mediated immunity	6.619150873680339e-40	-90.2134366248555	239	79	0.0490074441687345	1612	29090	16016,16019,629842,668395,777780,636260,238418,432702,628614,780831,780884,380808,404711,382696,619833,629884,12262,434609,13136,640046,17874,12229,238412,619916,12984,629871,668591,12520,622728,780932,12259,780799,16149,780938,380797,780960,780891,629822,641178,18733,12051,14125,54123,16189,629860,780794,16185,380823,53314,780818,791089,100775175,380795,14130,17480,12260,668474,630486,14127,633568,638605,780931,435321,100775174,780939,633457,780825,780792,780829,777686,668478,213570,629826,380824,629915,780802,668421,668589,238447	Ighg2b,Ighm,Ighv13-2,Ighv5-12,Ighv5-6,Ighv9-4,Ighv14-3,Ighv1-4,Ighv1-34,Ighv3-8,Ighv1-23,Ighv10-1,Ighg2c,Ighv1-52,Ighv1-69,Ighv1-26,C1qc,Ighv1-84,Cd55,Ighv2-9,Myd88,Btk,Ighv2-3,Ighv1-72,Csf2rb2,Ighv1-18,Ighv1-81,Cd81,Ighv1-75,Ighv1-55,C1qa,Ighv7-1,Cd74,Ighv8-8,Ighd,Ighv8-12,Ighv1-39,Ighv7-3,Ighv5-9-1,Pirb,Bcl3,Fcer1a,Irf7,Il4,Ighv1-12,Ighv5-17,Il2rb,Ighv1-64,Batf,Ighv11-2,Ighv2-9-1,Ighv1-82,Ighg3,Fcgr2b,Mpl,C1qb,Ighv1-7,Ighv2-6,Fcer1g,Ighv5-16,Ighv2-5,Ighv1-53,Ighv12-3,Ighv1-76,Ighv1-58,Ighv3-5,Ighv9-3,Ighv5-15,Ighv3-6,Ighv2-2,Ighv1-9,Ighv1-78,Ighv14-4,Ighv1-66,Ighv1-47,Ighv4-1,Ighv14-2,Ighv1-80,Igha
GO:0016064	immunoglobulin mediated immune response	1.03129953787832e-39	-89.7699989325243	234	78	0.0483870967741935	1612	29090	435321,780931,780825,633457,780939,100775174,213570,668478,777686,780829,780792,238447,668589,668421,380824,780802,629915,629826,780794,629860,54123,16189,14125,12051,780818,53314,380823,16185,668474,17480,12260,14130,380795,100775175,791089,638605,633568,14127,630486,668591,629871,12984,619916,780932,622728,12520,16149,780799,12259,641178,629822,780891,780960,380797,780938,629842,16019,16016,628614,432702,238418,636260,668395,777780,619833,380808,404711,382696,780831,780884,238412,12229,17874,640046,13136,434609,12262,629884	Ighv12-3,Ighv1-53,Ighv9-3,Ighv3-5,Ighv1-58,Ighv1-76,Ighv1-78,Ighv1-9,Ighv2-2,Ighv3-6,Ighv5-15,Igha,Ighv1-80,Ighv14-2,Ighv1-66,Ighv4-1,Ighv1-47,Ighv14-4,Ighv5-17,Ighv1-12,Irf7,Il4,Fcer1a,Bcl3,Ighv11-2,Batf,Ighv1-64,Il2rb,Ighv1-7,Mpl,C1qb,Fcgr2b,Ighg3,Ighv1-82,Ighv2-9-1,Ighv2-5,Ighv5-16,Fcer1g,Ighv2-6,Ighv1-81,Ighv1-18,Csf2rb2,Ighv1-72,Ighv1-55,Ighv1-75,Cd81,Cd74,Ighv7-1,C1qa,Ighv5-9-1,Ighv7-3,Ighv1-39,Ighv8-12,Ighd,Ighv8-8,Ighv13-2,Ighm,Ighg2b,Ighv1-34,Ighv1-4,Ighv14-3,Ighv9-4,Ighv5-12,Ighv5-6,Ighv1-69,Ighv10-1,Ighg2c,Ighv1-52,Ighv3-8,Ighv1-23,Ighv2-3,Btk,Myd88,Ighv2-9,Cd55,Ighv1-84,C1qc,Ighv1-26
GO:0050867	positive regulation of cell activation	3.8411055280018703e-25	-56.218867101769	401	82	0.0508684863523573	1612	29090	21838,15001,12703,16019,13848,227059,21950,18591,20677,56048,16408,225825,27223,17082,12394,16168,14724,60533,50930,12229,404736,17874,13136,234695,18596,15000,18019,13844,17474,231130,72049,74131,320484,12520,74411,54368,317757,16149,22177,26362,18106,12509,14728,21813,11350,20963,380797,56193,27218,14723,17394,12335,16189,16186,12504,16478,14182,243910,17480,73182,171285,13482,22164,20344,16453,74734,83797,20296,16818,18783,14729,12575,12399,56468,77777,18761,15002,20304,19401,21803,15205,67596	Thy1,H2-Oa,Socs1,Ighm,Ephb6,Slc39a10,Tnfsf9,Pdgfb,Sox4,Lgals8,Itgal,Cd226,Trp53bp1,Il1rl1,Runx1,Il15,Gp1bb,Cd274,Tnfsf14,Btk,Iglc4,Myd88,Cd55,Carmil2,Pdgfrb,H2-DMb2,Nfatc2,Ephb2,Clec4d,Tnip2,Tnfrsf13c,Sash3,Rasal3,Cd81,Plpp6,Gp9,Gimap5,Cd74,Tyrobp,Axl,Cd244a,Cd59a,Lilrb4a,Tgfbr2,Abl1,Syk,Ighd,Plek,Slamf1,Gp1ba,Mmp8,Capn3,Il4,Il2rg,Cd4,Jund,Fgfr1,Nfkbid,Mpl,Pear1,Havcr2,Dpp4,Tnfsf4,Selp,Jak3,Rhoh,Smarcd1,Ccl2,Lck,Pla2g4a,Gp5,Cdkn1a,Runx3,Socs5,Ulbp1,Prkcq,H2-Ob,Ccl5,Rara,Tgfb1,Hes1,Tespa1
GO:0022409	positive regulation of cell-cell adhesion	1.92514365674457e-22	-50.0018714540334	332	70	0.043424317617866	1612	29090	317757,16149,20963,21813,14728,11350,18106,12509,27218,14538,15000,108797,234695,74131,72049,27205,12520,15558,320484,16408,56048,12162,20677,16168,12394,50930,60533,13136,404736,12703,15001,21838,54446,13848,21950,11689,19401,20304,23871,21803,16456,67596,15205,14537,17684,20296,16818,12399,16403,15002,18761,56468,17909,171285,432628,13482,20344,22164,83797,74734,16453,14251,14723,12504,16186,246707,16189,70945,243910,15894	Gimap5,Cd74,Syk,Tgfbr2,Lilrb4a,Abl1,Cd244a,Cd59a,Slamf1,Gcnt2,H2-DMb2,Mex3b,Carmil2,Sash3,Tnfrsf13c,Podxl,Cd81,Htr2a,Rasal3,Itgal,Lgals8,Bmp7,Sox4,Il15,Runx1,Tnfsf14,Cd274,Cd55,Iglc4,Socs1,H2-Oa,Thy1,Nfat5,Ephb6,Tnfsf9,Alox5,Rara,Ccl5,Ets1,Tgfb1,F11r,Tespa1,Hes1,Gcnt1,Cited2,Ccl2,Lck,Runx3,Itga6,H2-Ob,Prkcq,Socs5,Myo10,Havcr2,Mfsd2b,Dpp4,Selp,Tnfsf4,Smarcd1,Rhoh,Jak3,Flot1,Gp1ba,Cd4,Il2rg,Emilin2,Il4,Mmrn1,Nfkbid,Icam1
GO:0002696	positive regulation of leukocyte activation	8.19605906177326e-20	-43.9480484233597	377	71	0.0440446650124069	1612	29090	243910,16478,16189,16186,12504,17394,16453,74734,83797,22164,13482,17480,171285,56468,77777,18761,15002,18783,12575,12399,16818,20296,15205,67596,21803,20304,19401,21950,13848,227059,16019,21838,15001,12703,17874,404736,13136,60533,50930,12229,17082,12394,16168,20677,56048,27223,225825,16408,320484,12520,72049,74131,18019,13844,231130,17474,234695,15000,380797,27218,26362,18106,12509,14728,21813,11350,20963,22177,74411,317757,16149	Nfkbid,Jund,Il4,Il2rg,Cd4,Mmp8,Jak3,Rhoh,Smarcd1,Tnfsf4,Dpp4,Mpl,Havcr2,Socs5,Ulbp1,Prkcq,H2-Ob,Pla2g4a,Cdkn1a,Runx3,Lck,Ccl2,Hes1,Tespa1,Tgfb1,Ccl5,Rara,Tnfsf9,Ephb6,Slc39a10,Ighm,Thy1,H2-Oa,Socs1,Myd88,Iglc4,Cd55,Cd274,Tnfsf14,Btk,Il1rl1,Runx1,Il15,Sox4,Lgals8,Trp53bp1,Cd226,Itgal,Rasal3,Cd81,Tnfrsf13c,Sash3,Nfatc2,Ephb2,Tnip2,Clec4d,Carmil2,H2-DMb2,Ighd,Slamf1,Axl,Cd244a,Cd59a,Lilrb4a,Tgfbr2,Abl1,Syk,Tyrobp,Plpp6,Gimap5,Cd74
GO:1903037	regulation of leukocyte cell-cell adhesion	1.0706993691934999e-19	-43.6808047158583	388	72	0.0446650124069479	1612	29090	15002,18761,56468,12399,20296,16818,67596,15205,14537,21803,19401,27027,23871,20304,15894,243910,56744,12504,16186,69769,16189,14723,15507,83797,74734,16453,20344,22164,11540,13482,171285,193385,12493,13383,12520,320484,74131,72049,15000,234695,242202,27218,20963,14728,11350,21813,12509,18106,12578,16149,16768,317757,72349,21950,240754,11689,13848,54446,217303,12703,21838,15001,13136,404736,65960,50930,60533,16168,12394,16408,56048,20677	H2-Ob,Prkcq,Socs5,Runx3,Ccl2,Lck,Tespa1,Hes1,Gcnt1,Tgfb1,Rara,Tspan32,Ets1,Ccl5,Icam1,Nfkbid,Pf4,Cd4,Il2rg,Tnfaip8l2,Il4,Gp1ba,Hspb1,Smarcd1,Rhoh,Jak3,Selp,Tnfsf4,Adora2a,Dpp4,Havcr2,Ripor2,Cd37,Dlg1,Cd81,Rasal3,Sash3,Tnfrsf13c,H2-DMb2,Carmil2,Pde5a,Slamf1,Syk,Lilrb4a,Abl1,Tgfbr2,Cd59a,Cd244a,Cdkn2a,Cd74,Lag3,Gimap5,Dusp3,Tnfsf9,Lax1,Alox5,Ephb6,Nfat5,Cd300a,Socs1,Thy1,H2-Oa,Cd55,Iglc4,Twsg1,Tnfsf14,Cd274,Il15,Runx1,Itgal,Lgals8,Sox4
GO:0002274	myeloid leukocyte activation	1.1148624075302e-18	-41.3378006779135	180	46	0.0285359801488834	1612	29090	74732,19698,12765,20304,21803,110279,53314,12890,16189,14125,14127,17988,74734,171285,14130,16420,27278,234779,16822,17096,18733,20963,27419,18106,21813,12506,27218,11502,216161,16174,317757,12259,22177,93670,21950,16797,217303,12229,214084,16476,17874,12759,56743,20619,16168,11542	Stx11,Relb,Cxcr2,Ccl5,Tgfb1,Bcr,Batf,Cplx2,Il4,Fcer1a,Fcer1g,Ndrg1,Rhoh,Havcr2,Fcgr2b,Itgb6,Clnk,Plcg2,Lcp2,Lyn,Pirb,Syk,Naglu,Cd244a,Tgfbr2,Cd48,Slamf1,Adam9,Sbno2,Il18rap,Gimap5,C1qa,Tyrobp,Tac4,Tnfsf9,Lat,Cd300a,Btk,Slc18a2,Jun,Myd88,Clu,Lat2,Snap23,Il15,Adora3
GO:0051251	positive regulation of lymphocyte activation	5.598963540934449e-18	-39.7239501752575	340	64	0.0397022332506203	1612	29090	320484,12520,72049,74131,18019,13844,231130,234695,15000,380797,27218,26362,12509,18106,14728,21813,11350,20963,22177,317757,16149,21950,13848,227059,16019,15001,21838,12703,404736,17874,13136,60533,50930,12229,12394,16168,20677,56048,16408,27223,56468,77777,18761,15002,12575,12399,20296,16818,15205,67596,21803,20304,19401,243910,16189,16186,12504,16453,74734,83797,22164,13482,17480,171285	Rasal3,Cd81,Tnfrsf13c,Sash3,Nfatc2,Ephb2,Tnip2,Carmil2,H2-DMb2,Ighd,Slamf1,Axl,Cd59a,Cd244a,Lilrb4a,Tgfbr2,Abl1,Syk,Tyrobp,Gimap5,Cd74,Tnfsf9,Ephb6,Slc39a10,Ighm,H2-Oa,Thy1,Socs1,Iglc4,Myd88,Cd55,Cd274,Tnfsf14,Btk,Runx1,Il15,Sox4,Lgals8,Itgal,Trp53bp1,Socs5,Ulbp1,Prkcq,H2-Ob,Cdkn1a,Runx3,Ccl2,Lck,Hes1,Tespa1,Tgfb1,Ccl5,Rara,Nfkbid,Il4,Il2rg,Cd4,Jak3,Rhoh,Smarcd1,Tnfsf4,Dpp4,Mpl,Havcr2
GO:1903039	positive regulation of leukocyte cell-cell adhesion	8.88829558653696e-18	-39.2617963652974	280	57	0.0353598014888337	1612	29090	16818,20296,56468,18761,15002,12399,21803,23871,20304,19401,14537,15205,67596,16189,16186,12504,14723,15894,243910,13482,171285,16453,74734,83797,22164,20344,234695,15000,320484,12520,72049,74131,16149,317757,27218,12509,18106,21813,11350,14728,20963,54446,15001,21838,12703,11689,21950,13848,12394,16168,20677,56048,16408,404736,13136,60533,50930	Lck,Ccl2,Socs5,Prkcq,H2-Ob,Runx3,Tgfb1,Ets1,Ccl5,Rara,Gcnt1,Hes1,Tespa1,Il4,Il2rg,Cd4,Gp1ba,Icam1,Nfkbid,Dpp4,Havcr2,Jak3,Rhoh,Smarcd1,Tnfsf4,Selp,Carmil2,H2-DMb2,Rasal3,Cd81,Tnfrsf13c,Sash3,Cd74,Gimap5,Slamf1,Cd59a,Cd244a,Tgfbr2,Abl1,Lilrb4a,Syk,Nfat5,H2-Oa,Thy1,Socs1,Alox5,Tnfsf9,Ephb6,Runx1,Il15,Sox4,Lgals8,Itgal,Iglc4,Cd55,Cd274,Tnfsf14
GO:0002521	leukocyte differentiation	1.18054405579925e-17	-38.977971184442	491	79	0.0490074441687345	1612	29090	56619,17684,19698,16431,12192,16818,67596,14461,13836,98365,21803,20442,14370,53314,243910,207304,58185,14389,20130,12504,16189,16186,12051,14127,20848,16453,74734,14460,16420,13482,14281,74131,21929,17095,12520,234779,12518,17474,17096,65963,18733,20963,24067,27419,26362,11350,21813,27218,224109,216161,18514,16071,317757,16149,58240,22177,15902,12500,11622,75974,21950,16477,11977,16848,12703,16019,12229,19016,17305,23882,16476,17874,16205,20677,56048,16168,13653,17082,12394	Clec4e,Cited2,Relb,Itm2a,Zfp36l1,Lck,Tespa1,Gata2,Epha2,Slamf9,Tgfb1,St3gal1,Fzd8,Batf,Nfkbid,Hectd1,Rsad2,Gab2,Rras,Cd4,Il4,Il2rg,Bcl3,Fcer1g,Stat3,Jak3,Rhoh,Gata1,Itgb6,Dpp4,Fos,Sash3,Tnfaip3,Lyl1,Cd81,Plcg2,Cd79a,Clec4d,Lyn,Tmem176b,Pirb,Syk,Srp54a,Naglu,Axl,Abl1,Tgfbr2,Slamf1,Nrros,Sbno2,Pbx1,Igkc,Gimap5,Cd74,Hs1bp3,Tyrobp,Id2,Cd3d,Ahr,Dock11,Tnfsf9,Junb,Atp7a,Lfng,Socs1,Ighm,Btk,Pparg,Mfng,Gadd45g,Jun,Myd88,Gimap1,Sox4,Lgals8,Il15,Egr1,Il1rl1,Runx1
